spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1Sz1UtVgm1bvTikV3XSfPOr8KtPnKqFaQoSr2HSD3-Cw,9429 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,1012.82
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gLCgrdkUi5jFbqrSdAr0wGAVWK_Pw_8aI6QjEakR_cU,6021 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
1XEj0J19WH4juW5GVn_JauVNh4VAdZO3KcUD4UlkgBEY,7080 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,944.96
